,Rice reference genes,Gene orthology projections on various plant species using Compara (30%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q6ZD89,OS08G0157500,"AET1Gv20859600,AET2Gv20088600,AET2Gv21306500,AET3Gv20178800,AET3Gv21247200,AET5Gv21102900,AET5Gv21103000,AET5Gv21174100,AET6Gv20013800,AET7Gv20850500,AET7Gv21330200,AET7Gv21330500",AMTR_s00001p00272250,"g04475,g04489,g09429,g09431","fgenesh1_pg.C_scaffold_7001202,fgenesh2_kg.8__1313__AT5G54160.1,scaffold_701489.1,scaffold_801928.1",AT5G54160,"BVRB_3g050950,BVRB_3g055430","BRADI_1g14870v3,BRADI_2g02380v3,BRADI_2g02390v3,BRADI_3g16530v3","GSBRNA2T00002862001,GSBRNA2T00002865001,GSBRNA2T00002874001,GSBRNA2T00006296001,GSBRNA2T00006301001,GSBRNA2T00016685001,GSBRNA2T00041438001,GSBRNA2T00044296001,GSBRNA2T00073657001,GSBRNA2T00075885001,GSBRNA2T00077361001,GSBRNA2T00078939001,GSBRNA2T00078941001,GSBRNA2T00154668001","Bo1g050750,Bo1g050770,Bo2g041880,Bo3g022270,Bo7g111600,Bo9g115100","Bra003007,Bra003009,Bra019031,Bra022700,Bra026320,Bra029041",,,,Csa_4G091880,,"DCAR_010571,DCAR_018993,DCAR_018995,DCAR_018996","Dr15749,Dr15754",,"GLYMA_04G227700,GLYMA_04G227800,GLYMA_06G137100,GLYMA_06G137200,GLYMA_06G137300","B456_004G125600,B456_008G264900","HannXRQ_Chr04g0117891,HannXRQ_Chr08g0225941,HannXRQ_Chr08g0225951,HannXRQ_Chr08g0225961,HannXRQ_Chr08g0225971","HORVU1Hr1G003370,HORVU1Hr1G011930,HORVU1Hr1G089620,HORVU2Hr1G119660,HORVU3Hr1G116770,HORVU4Hr1G001250,HORVU7Hr1G082280,HORVU7Hr1G088940,HORVU7Hr1G119480",LPERR08G03470,,"MANES_01G043600,MANES_01G043700","MTR_3g092900,MTR_5g098170","GSMUA_Achr10G08020_001,GSMUA_Achr1G06370_001,GSMUA_Achr2G04360_001,GSMUA_Achr2G04370_001,GSMUA_Achr2G04380_001,GSMUA_Achr2G04390_001,GSMUA_Achr2G04400_001,GSMUA_Achr2G04410_001,GSMUA_Achr2G04420_001,GSMUA_Achr2G04470_001,GSMUA_Achr2G04480_001,GSMUA_Achr2G04820_001,GSMUA_Achr2G04840_001,GSMUA_Achr2G04860_001,GSMUA_Achr3G27470_001,GSMUA_Achr4G24480_001,GSMUA_Achr9G18820_001,GSMUA_Achr9G23460_001,GSMUA_Achr9G23470_001,GSMUA_Achr9G23490_001,GSMUA_Achr9G28010_001,GSMUA_AchrUn_randomG16330_001,GSMUA_AchrUn_randomG21820_001,GSMUA_AchrUn_randomG25530_001,GSMUA_AchrUn_randomG26070_001,GSMUA_AchrUn_randomG26330_001,GSMUA_AchrUn_randomG29220_001",A4A49_31802,OBART08G03420,OB08G13680,ORGLA08G0028500,OGLUM08G03490,BGIOSGA027626,KN538681.1_FG104,OMERI08G03440,ONIVA08G03390,OPUNC08G03270,ORUFI08G03830,,PHAVU_009G044400g,Pp3c12_5860,"POPTR_012G006400v3,POPTR_015G003100v3",PRUPE_2G319700,"SELMODRAFT_112597,SELMODRAFT_227279,SELMODRAFT_227505,SELMODRAFT_450944,SELMODRAFT_450945,SELMODRAFT_76630,SELMODRAFT_78541,SELMODRAFT_94918",SETIT_014900mg,Solyc03g080180.3,PGSC0003DMG400000560,SORBI_3007G047300,TCM_015522,,"TraesCS1A02G407500,TraesCS1D02G359500,TraesCS2A02G051600,TraesCS2B02G066100,TraesCS2B02G617300,TraesCS2D02G052200,TraesCS2D02G568300,TraesCS3A02G534900,TraesCS3B02G612000,TraesCS3D02G540200,TraesCS4A02G344100,TraesCS5B02G036100,TraesCS5B02G036200,TraesCS5D02G488800,TraesCS5D02G488900,TraesCS5D02G528600,TraesCS6A02G005600,TraesCS6B02G011100,TraesCS6D02G008200,TraesCS7A02G333900,TraesCS7B02G245500,TraesCS7D02G341500,TraesCS7D02G538900,TraesCS7D02G539100,TraesCSU02G013300,TraesCSU02G024300,TraesCSU02G152500","TRIDC1AG060010,TRIDC2BG006380,TRIDC3AG075720,TRIDC3BG013540,TRIDC3BG087170,TRIDC4AG051820,TRIDC5BG005970,TRIDC5BG005980,TRIDC6AG000710,TRIDC6BG001270,TRIDC7AG047260,TRIDC7BG040430","TRIUR3_02449,TRIUR3_22148,TRIUR3_26933,TRIUR3_31086,TRIUR3_32612","LR48_Vigan04g114200,LR48_Vigan04g114400,LR48_Vigan07g005600",,,Zm00001d049541
 Q0J7W9,OS08G0157600,AET7Gv20749500,AMTR_s00001p00272270,"g01821,g09640","fgenesh2_kg.1__131__AT1G01060.3,scaffold_403655.1","AT1G01060,AT2G46830",BVRB_1g001980,BRADI_3g16515v3,"GSBRNA2T00034511001,GSBRNA2T00085393001,GSBRNA2T00134120001,GSBRNA2T00150502001","Bo3g001090,Bo5g002760","Bra030496,Bra033291",,,CCACVL1_01635,Csa_6G095910,,,"Dr11748,Dr15790",,"GLYMA_03G261800,GLYMA_07G048500,GLYMA_16G017400,GLYMA_19G260900","B456_007G113900,B456_008G131800,B456_008G132000","HannXRQ_Chr09g0264401,HannXRQ_Chr09g0264411,HannXRQ_Chr15g0489581",HORVU7Hr1G070870,LPERR08G03480,TanjilG_21567,"MANES_01G239000,MANES_05G015600",MTR_7g118330,"GSMUA_Achr10G06550_001,GSMUA_Achr1G06360_001,GSMUA_AchrUn_randomG03000_001",,OBART08G03430,OB08G13700,ORGLA08G0028700,OGLUM08G03510,BGIOSGA028019,KN538681.1_FG110,OMERI08G03470,ONIVA08G03410,OPUNC08G03280,ORUFI08G03840,,,,"POPTR_002G180800v3,POPTR_014G106800v3",PRUPE_2G200400,,SETIT_013398mg,Solyc10g005080.3,,SORBI_3007G047400,TCM_005021,Tp57577_TGAC_v2_gene4678,"TraesCS7A02G299400,TraesCS7B02G188000,TraesCS7D02G295400","TRIDC7AG041730,TRIDC7BG030830",TRIUR3_13395,LR48_Vigan11g025500,vigra.VC1973A.gnm6.ann1.Vradi0215s00270,VIT_15s0048g02410,"Zm00001d024546,Zm00001d049543"
 Q7EZD3,OS08G0157900,AET7Gv20748800,,,,,,BRADI_3g16480v3,,,,,,,,,,,,,,,HORVU7Hr1G070780,LPERR08G03510,,,,GSMUA_AchrUn_randomG04060_001,,OBART08G03460,OB08G13730,ORGLA08G0029000,OGLUM08G03540,BGIOSGA027623,KN538681.1_FG098,OMERI08G03500,ONIVA08G03440,OPUNC08G03310,ORUFI08G03870,,,,,,,SETIT_013369mg,,,SORBI_3007G047700,,,"TraesCS7A02G299600,TraesCS7B02G187600,TraesCS7D02G295100","TRIDC7AG041760,TRIDC7BG030780",TRIUR3_32613,,,,"Zm00001d024543,Zm00001d049540"
 Q7EYE4,OS08G0161800,,AMTR_s00048p00139530,,,,,BRADI_3g16280v3,,,,,,,,,,"Dr02959,Dr15062",,,,,,LPERR08G03660,,,,GSMUA_Achr4G12320_001,,OBART08G03750,OB08G13960,ORGLA08G0031600,OGLUM08G03850,BGIOSGA027606,KN538681.1_FG211,OMERI08G03890,ONIVA08G03720,OPUNC08G03700,ORUFI08G04140,,,"Pp3c12_4190,Pp3c15_6530,Pp3c9_12920",,,"SELMODRAFT_172208,SELMODRAFT_25358",SETIT_015234mg,,,SORBI_3007G051200,,,TraesCS7A02G298100,TRIDC7AG041450,,,,,"Zm00001d024528,Zm00001d049505"
 Q0J7U6,OS08G0162100,AET7Gv20742600,AMTR_s00048p00159380,,,,,BRADI_3g16250v3,,,,,,CCACVL1_02292,,,"DCAR_004254,DCAR_008192","Dr00055,Dr11894",,,B456_004G259300,"HannXRQ_Chr03g0081401,HannXRQ_Chr03g0081581,HannXRQ_Chr13g0413281",HORVU7Hr1G066930,LPERR08G03690,,"MANES_08G164000,MANES_09G124300",,"GSMUA_Achr1G10830_001,GSMUA_Achr1G15450_001,GSMUA_Achr4G04560_001,GSMUA_Achr4G05650_001,GSMUA_Achr4G11600_001,GSMUA_Achr4G12340_001",A4A49_21987,OBART08G03790,OB08G14010,ORGLA08G0032000,OGLUM08G03880,BGIOSGA028033,KN538681.1_FG229,OMERI08G03930,ONIVA08G03760,OPUNC08G03660,ORUFI08G04180,,,"Pp3c15_9880,Pp3c9_21250",POPTR_013G081300v3,PRUPE_2G324300,"SELMODRAFT_115161,SELMODRAFT_163891,SELMODRAFT_404377,SELMODRAFT_439915,SELMODRAFT_79194,SELMODRAFT_88677",SETIT_013145mg,Solyc08g076030.3,,SORBI_3007G051700,TCM_025381,,"TraesCS7A02G296100,TraesCS7B02G189300,TraesCS7D02G293500","TRIDC7AG041110,TRIDC7BG031090",TRIUR3_31282,,,VIT_16s0039g02410,Zm00001d024523
 Q0J7P4,OS08G0174500,AET2Gv20810400,AMTR_s00010p00239530,,,,,BRADI_3g15670v3,,,,,,CCACVL1_26865,Csa_4G037610,,DCAR_011446,,,"GLYMA_05G183200,GLYMA_08G141000",B456_003G046600,HannXRQ_Chr14g0446201,HORVU2Hr1G087460,LPERR08G04400,TanjilG_05789,,MTR_8g091720,GSMUA_Achr6G02820_001,,,,ORGLA08G0039700,OGLUM08G04800,BGIOSGA027569,,OMERI08G04530,ONIVA08G04390,OPUNC08G04390,ORUFI03G11670,,PHAVU_002G264300g,,"POPTR_005G083400v3,POPTR_007G082200v3",PRUPE_6G175100,,SETIT_014286mg,Solyc04g054150.1,PGSC0003DMG400044580,SORBI_3007G059500,TCM_030648,Tp57577_TGAC_v2_gene2207,"TraesCS2A02G359400,TraesCS2B02G378700,TraesCS2D02G358300","TRIDC2AG052050,TRIDC2BG055380",TRIUR3_11916,LR48_Vigan01g021400,,VIT_07s0031g01460,Zm00001d049485
 Q5KS47,OS08G0176200,,AMTR_s00010p00238570,,,,,,,,,,,,,,,,,,,HannXRQ_Chr13g0418331,,,,"MANES_04G061700,MANES_08G074100,MANES_15G024900",,GSMUA_Achr7G17210_001,,,,,,,,,,,,,,"Pp3c12_23570,Pp3c3_36680,Pp3c8_3330",,PRUPE_1G558800,"SELMODRAFT_443356,SELMODRAFT_444590",SETIT_030853mg,,,,,Tp57577_TGAC_v2_gene28060,,,,,,,
 Q6ZAR0,OS08G0187500,,,,,,,,,,,,,,,,,,,,,,,,,,,,A4A49_58084,,OB08G15090,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q6YZX7,OS08G0191000,AET3Gv21227200,AMTR_s00105p00107360,g03856,fgenesh2_kg.2__1371__AT1G71090.1,AT1G71090,"BVRB_2g027460,BVRB_6g142780",BRADI_2g61980v3,"GSBRNA2T00102445001,GSBRNA2T00103158001",Bo6g112720,Bra016159,,,CCACVL1_27168,Csa_5G571470,,,Dr13194,,"GLYMA_09G116100,GLYMA_19G072900","B456_001G085300,B456_005G163100","HannXRQ_Chr09g0239721,HannXRQ_Chr09g0262391,HannXRQ_Chr13g0398481,HannXRQ_Chr15g0477311","HORVU0Hr1G031980,HORVU3Hr1G114270",LPERR08G05050,"TanjilG_13669,TanjilG_22446","MANES_01G114600,MANES_06G061600,MANES_14G135400","MTR_1g108390,MTR_5g054950","GSMUA_Achr11G13290_001,GSMUA_AchrUn_randomG21380_001",A4A49_22594,OBART08G05280,OB08G15400,ORGLA08G0045100,OGLUM08G05530,BGIOSGA028120,KN541834.1_FG003,OMERI06G14950,ONIVA08G05220,OPUNC08G05140,ORUFI08G05860,,PHAVU_003G029200g,"Pp3c19_9720,Pp3c22_21270","POPTR_004G093200v3,POPTR_008G127700v3,POPTR_010G115200v3,POPTR_017G122400v3","PRUPE_1G322300,PRUPE_3G151300","SELMODRAFT_106610,SELMODRAFT_230605",SETIT_017183mg,Solyc02g091240.1,PGSC0003DMG400030639,SORBI_3004G210900,"TCM_010817,TCM_019297","Tp57577_TGAC_v2_gene38263,Tp57577_TGAC_v2_gene4887","TraesCS3A02G525200,TraesCS3B02G592500,TraesCS3D02G530400","TRIDC3AG074250,TRIDC3BG085590",TRIUR3_01584,LR48_Vigan06g130800,vigra.VC1973A.gnm6.ann1.Vradi11g12760,"VIT_01s0011g04640,VIT_14s0006g01970,VIT_18s0001g00260,VIT_18s0001g00940",Zm00001d051044
 Q6YZX6,OS08G0191100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Q948T6,OS08G0191700,AET7Gv20881400,AMTR_s00037p00206460,g04900,scaffold_101291.1,AT1G11840,BVRB_8g186030,BRADI_3g14960v3,"GSBRNA2T00015172001,GSBRNA2T00047345001",Bo8g061410,Bra016811,,CHC_T00009567001,"CCACVL1_11378,CCACVL1_11381","Csa_1G062880,Csa_3G076000,Csa_3G076020,Csa_6G513680",,DCAR_008161,,,"GLYMA_07G261400,GLYMA_09G004300,GLYMA_15G108400","B456_010G180800,B456_010G252200","HannXRQ_Chr02g0049911,HannXRQ_Chr05g0129471",HORVU7Hr1G085150,LPERR08G05120,"TanjilG_00589,TanjilG_06805,TanjilG_23749,TanjilG_27316","MANES_16G006100,MANES_17G026300","MTR_2g023500,MTR_4g132260,MTR_4g132270","GSMUA_Achr6G19750_001,GSMUA_Achr9G30310_001",A4A49_01654,OBART08G05340,OB08G15450,ORGLA08G0045700,OGLUM08G05590,BGIOSGA027518,KN539976.1_FG004,OMERI08G05100,ONIVA08G05280,OPUNC08G05200,ORUFI08G05920,,"PHAVU_003G079700g,PHAVU_006G149400g",,POPTR_004G013200v3,"PRUPE_4G019400,PRUPE_4G216000",,"SETIT_0141843mg,SETIT_014185mg",Solyc02g080630.3,PGSC0003DMG400016448,"SORBI_3007G069000,SORBI_3007G069200","TCM_030243,TCM_030848","Tp57577_TGAC_v2_gene13447,Tp57577_TGAC_v2_gene20800,Tp57577_TGAC_v2_gene21457","TraesCS6A02G215400,TraesCS6B02G245000,TraesCS6D02G197700,TraesCS7A02G369700,TraesCS7B02G258800,TraesCS7D02G353600","TRIDC6AG033370,TRIDC7AG051610,TRIDC7BG042300",TRIUR3_09101,"LR48_Vigan01g335400,LR48_Vigan09g207400",vigra.VC1973A.gnm6.ann1.Vradi10g08070,VIT_10s0116g01660,Zm00001d024245
 Q6ZCF0,OS08G0205900,AET7Gv20851100,AMTR_s00062p00194620,g11339,fgenesh2_kg.3__2435__AT3G22200.1,AT3G22200,BVRB_6g132200,BRADI_3g17762v3,,,"Bra023845,Bra031332,Bra031335",,,CCACVL1_21356,"Csa_4G056830,Csa_4G618430",,"DCAR_001912,DCAR_029734","Dr02221,Dr02222",,"GLYMA_11G096200,GLYMA_12G022300","B456_004G063100,B456_007G173800","HannXRQ_Chr08g0214751,HannXRQ_Chr14g0446441",HORVU7Hr1G082330,LPERR08G05630,"TanjilG_17423,TanjilG_23392",MANES_08G069100,MTR_4g076100,GSMUA_Achr5G00340_001,"A4A49_33872,A4A49_61390",OBART08G06010,OB08G16040,ORGLA08G0053600,OGLUM08G06490,BGIOSGA027464,KN539024.1_FG007,OMERI08G06050,ONIVA08G06070,OPUNC08G05760,ORUFI08G06780,,PHAVU_011G024300g,"Pp3c1_32910,Pp3c6_25350","POPTR_006G020900v3,POPTR_016G018500v3",PRUPE_3G186500,"SELMODRAFT_177017,SELMODRAFT_270846",SETIT_013583mg,"Solyc07g043310.3,Solyc08g014610.3,Solyc12g006450.2,Solyc12g006470.2","PGSC0003DMG400011754,PGSC0003DMG400024275,PGSC0003DMG400024281,PGSC0003DMG400025228",SORBI_3007G074500,TCM_002027,"Tp57577_TGAC_v2_gene16133,Tp57577_TGAC_v2_gene21260,Tp57577_TGAC_v2_gene35755","TraesCS7A02G334200,TraesCS7B02G246800,TraesCS7D02G341900","TRIDC7AG047210,TRIDC7BG040470",TRIUR3_18536,LR48_Vigan08g193500,vigra.VC1973A.gnm6.ann1.Vradi02g01950,VIT_03s0017g01760,Zm00001d049380
 Q6Z9A3,OS08G0237200,AET3Gv20816800,,"g11588,g12539",fgenesh2_kg.4__2064__AT2G39770.1,"AT2G39770,AT3G55590",BVRB_2g025490,BRADI_2g54870v3,"GSBRNA2T00012574001,GSBRNA2T00034358001,GSBRNA2T00116811001,GSBRNA2T00123349001,GSBRNA2T00124741001,GSBRNA2T00155190001","Bo3g034460,Bo4g025910,Bo4g188590","Bra000149,Bra005014,Bra017052",CHLRE_16g672800v5,CHC_T00009182001,"CCACVL1_21171,CCACVL1_25084",Csa_6G008750,CML145C,DCAR_027592,Dr18179,Gasu_27870,"GLYMA_02G250800,GLYMA_11G223700,GLYMA_14G065900,GLYMA_18G034400","B456_011G269100,B456_012G072800,B456_012G106900","HannXRQ_Chr07g0201721,HannXRQ_Chr09g0247091,HannXRQ_Chr10g0312651,HannXRQ_Chr15g0496461",HORVU3Hr1G085830,LPERR01G31930,"TanjilG_00634,TanjilG_18876,TanjilG_21331,TanjilG_23835,TanjilG_29473","MANES_07G120300,MANES_10G025000","MTR_3g069070,MTR_4g133690,MTR_5g080770","GSMUA_Achr6G33980_001,GSMUA_Achr8G02520_001","A4A49_05917,A4A49_06433",OBART08G07040,OB01G45900,ORGLA08G0061500,,BGIOSGA027401,KN542747.1_FG001,OMERI01G34200,ONIVA08G07520,OPUNC01G36020,ORUFI08G08170,,"PHAVU_001G236800g,PHAVU_008G230600g","Pp3c24_16870,Pp3c8_17380","POPTR_006G090300v3,POPTR_008G006700v3,POPTR_008G060100v3,POPTR_010G198800v3",PRUPE_2G240500,"SELMODRAFT_168373,SELMODRAFT_185648,SELMODRAFT_267755,SELMODRAFT_271290","SETIT_001333mg,SETIT_010432mg","Solyc03g096730.3,Solyc06g051270.3,Solyc09g011220.3","PGSC0003DMG400008891,PGSC0003DMG400015098,PGSC0003DMG400015645",SORBI_3003G355200,"TCM_021865,TCM_042692","Tp57577_TGAC_v2_gene10322,Tp57577_TGAC_v2_gene25856","TraesCS3A02G363000,TraesCS3B02G395400,TraesCS3D02G356700","TRIDC3AG052360,TRIDC3BG058800",TRIUR3_10591,,"vigra.VC1973A.gnm6.ann1.Vradi03g08420,vigra.VC1973A.gnm6.ann1.Vradi06g05050",,"Zm00001d012395,Zm00001d042874"
 P17814,OS08G0245200,,AMTR_s00019p00213640,"g11222,g11223,g21952","Al_scaffold_0003_2273,fgenesh2_kg.3__2344__AT3G21230.1,scaffold_104938.1","AT1G51680,AT3G21230,AT3G21240",BVRB_8g198680,BRADI_3g18960v3,"GSBRNA2T00009220001,GSBRNA2T00009225001,GSBRNA2T00052011001,GSBRNA2T00077513001,GSBRNA2T00081020001,GSBRNA2T00091935001,GSBRNA2T00122445001,GSBRNA2T00122456001,GSBRNA2T00137298001,GSBRNA2T00146990001","Bo3g077430,Bo5g102350,Bo5g103450,Bo6g042520","Bra001819,Bra001820,Bra030429,Bra031263,Bra031265,Bra031266",,,"CCACVL1_18856,CCACVL1_29084","Csa_1G423020,Csa_2G048330,Csa_3G710200,Csa_7G430230,Csa_7G430240,Csa_7G430250",,"DCAR_021385,DCAR_025617","Dr05521,Dr13588",,"GLYMA_13G095600,GLYMA_13G372000,GLYMA_15G001700,GLYMA_17G064400,GLYMA_17G064500,GLYMA_17G064600","B456_009G005900,B456_009G148700,B456_011G053700","HannXRQ_Chr05g0157551,HannXRQ_Chr09g0274301",,LPERR08G06650,"TanjilG_05847,TanjilG_05848,TanjilG_09452,TanjilG_09453,TanjilG_13421,TanjilG_26138,TanjilG_26758","MANES_04G095300,MANES_11G071800,MANES_14G151400","MTR_2g105570,MTR_4g005750,MTR_4g128337","GSMUA_Achr1G23450_001,GSMUA_Achr4G05820_001,GSMUA_Achr4G12590_001,GSMUA_Achr7G05070_001,GSMUA_Achr9G22840_001,GSMUA_AchrUn_randomG04620_001","A4A49_10638,A4A49_15235,A4A49_40482",OBART08G07460,OB08G17190,ORGLA08G0065300,OGLUM08G08270,BGIOSGA028277,KN540942.1_FG002,OMERI07G12510,ONIVA08G08240,OPUNC08G07160,ORUFI08G08590,,"PHAVU_003G146900g,PHAVU_003G147000g,PHAVU_005G184500g","Pp3c18_6360,Pp3c19_13170,Pp3c21_15460,Pp3c22_15350","POPTR_001G036900v3,POPTR_003G188500v3,POPTR_006G169600v3,POPTR_006G169700v3,POPTR_018G094200v3","PRUPE_1G087900,PRUPE_3G107300","SELMODRAFT_173133,SELMODRAFT_232017,SELMODRAFT_234540,SELMODRAFT_450526,SELMODRAFT_450546,SELMODRAFT_450547,SELMODRAFT_450548",SETIT_013489mg,"Solyc03g117870.3,Solyc06g068650.3,Solyc07g008360.2,Solyc12g042460.2","PGSC0003DMG400014223,PGSC0003DMG400014466,PGSC0003DMG400028929,PGSC0003DMG401019891",SORBI_3007G089900,"TCM_029272,TCM_038994",,,,,"LR48_Vigan05g228200,LR48_Vigan08g199000,LR48_Vigan627s006200,LR48_Vigan627s006300,LR48_Vigan627s006400",vigra.VC1973A.gnm6.ann1.Vradi07g22110,"VIT_11s0052g01090,VIT_11s0052g01110",Zm00001d050224
 Q6ZKV8,OS08G0245400,AET6Gv20413900,AMTR_s00019p00206230,g16848,fgenesh2_kg.8__1672__AT5G57590.1,AT5G57590,BVRB_8g198720,BRADI_3g18970v3,"GSBRNA2T00014055001,GSBRNA2T00033376001,GSBRNA2T00033568001,GSBRNA2T00060692001,GSBRNA2T00093713001,GSBRNA2T00148666001","Bo3g019250,Bo5g013410,Bo9g133300","Bra002715,Bra006813,Bra039546",CHLRE_06g277200v5,CHC_T00002287001,CCACVL1_07089,Csa_1G421880,CMG023C,,Dr17317,Gasu_42400,GLYMA_13G094700,B456_013G246300,HannXRQ_Chr03g0068921,,LPERR08G06680,TanjilG_26146,MANES_06G023800,MTR_4g128620,,A4A49_03947,OBART08G07470,OB08G17220,ORGLA08G0065400,OGLUM08G08280,BGIOSGA027374,KN540942.1_FG003,OMERI07G12520,ONIVA08G08250,OPUNC08G07170,ORUFI08G08600,"OSTLU_591,OSTLU_597",PHAVU_003G147900g,Pp3c17_24020,POPTR_006G170400v3,PRUPE_1G089300,"SELMODRAFT_413615,SELMODRAFT_416628",SETIT_014981mg,Solyc07g006810.3,,SORBI_3001G465700,TCM_038834,Tp57577_TGAC_v2_gene5323,"TraesCS6A02G160100,TraesCS6B02G191300,TraesCS6D02G152600","TRIDC6AG022640,TRIDC6BG028730",TRIUR3_16844,LR48_Vigan627s007300,vigra.VC1973A.gnm6.ann1.Vradi07g22060,VIT_11s0052g01390,Zm00001d024159
 Q9LD61,OS08G0248800,AET5Gv20316400,AMTR_s00030p00092010,g11107,scaffold_302416.1,AT3G20330,BVRB_4g088660,BRADI_3g18990v3,"GSBRNA2T00029544001,GSBRNA2T00043712001,GSBRNA2T00075936001,GSBRNA2T00095869001",Bo5g109750,Bra038263,CHLRE_02g079700v5,,CCACVL1_11351,Csa_3G074470,,DCAR_013195,,,"GLYMA_02G293500,GLYMA_05G131400,GLYMA_08G086000,GLYMA_14G021000",B456_009G442200,"HannXRQ_Chr08g0233571,HannXRQ_Chr15g0470591",HORVU2Hr1G064550,LPERR08G06720,"TanjilG_00800,TanjilG_09629,TanjilG_25385",MANES_15G067500,"MTR_4g096900,MTR_5g093570",GSMUA_Achr3G27980_001,A4A49_35355,OBART08G07570,OB08G17270,ORGLA08G0066100,OGLUM08G08340,BGIOSGA027368,KN538908.1_FG001,OMERI10G01600,ONIVA08G08520,OPUNC08G07210,ORUFI08G08800,OSTLU_19816,PHAVU_008G270600g,"Pp3c11_8230,Pp3c1_7810",POPTR_001G357200v3,PRUPE_4G221200,"SELMODRAFT_129301,SELMODRAFT_235243",SETIT_015656mg,Solyc11g006350.1,PGSC0003DMG400000980,SORBI_3007G092200,TCM_030814,"Tp57577_TGAC_v2_gene1169,Tp57577_TGAC_v2_gene2908","TraesCS5A02G120200,TraesCS5B02G121700,TraesCS5D02G124500","TRIDC5AG018250,TRIDC5BG021280",,LR48_Vigan07g024900,vigra.VC1973A.gnm6.ann1.Vradi06g01550,VIT_19s0090g01030,"Zm00001d024203,Zm00001d050187"
 Q6ZHZ1,OS08G0301500,AET3Gv20028500,AMTR_s00033p00204130,"g10577,g12089","fgenesh2_kg.6__1077__AT5G11110.1,fgenesh2_kg.6__2069__AT5G20280.1","AT5G11110,AT5G20280","BVRB_2g030670,BVRB_8g193450",BRADI_3g20120v3,"GSBRNA2T00059319001,GSBRNA2T00081377001,GSBRNA2T00129795001,GSBRNA2T00133598001,GSBRNA2T00140183001,GSBRNA2T00147625001,GSBRNA2T00154245001","Bo2g020760,Bo3g006930,Bo7g096090,Bo9g152040","Bra002289,Bra006090,Bra009830,Bra020096",,,"CCACVL1_09526,CCACVL1_17433",Csa_1G224890,,"DCAR_009328,DCAR_017776,DCAR_020891","Dr01002,Dr13544",,"GLYMA_13G161600,GLYMA_17G109700","B456_004G292800,B456_010G116100,B456_013G235900","HannXRQ_Chr03g0063181,HannXRQ_Chr12g0356821,HannXRQ_Chr13g0403281",HORVU3Hr1G002280,LPERR08G08660,TanjilG_13348,"MANES_14G117000,MANES_16G123800",MTR_4g115620,"GSMUA_Achr4G06050_001,GSMUA_Achr9G22510_001","A4A49_27050,A4A49_28211",OBART08G09860,OB08G18830,"ORGLA08G0085400,ORGLA08G0085500",OGLUM08G10770,BGIOSGA028425,KN538923.1_FG008,OMERI08G08560,ONIVA08G10610,OPUNC08G09160,ORUFI08G11160,,PHAVU_003G170100g,"Pp3c15_24340,Pp3c9_25200","POPTR_006G064300v3,POPTR_018G025100v3,POPTR_018G124700v3","PRUPE_1G483200,PRUPE_7G249900",SELMODRAFT_91988,SETIT_013170mg,"Solyc07g007790.3,Solyc08g042000.3",PGSC0003DMG400027936,SORBI_3009G233200,"TCM_038167,TCM_046907",Tp57577_TGAC_v2_gene7628,"TraesCS3A02G015500,TraesCS3D02G013000,TraesCSU02G044500","TRIDC3AG001400,TRIDC3BG002130",TRIUR3_18320,LR48_Vigan01g254100,vigra.VC1973A.gnm6.ann1.Vradi07g20610,"VIT_04s0008g05730,VIT_11s0118g00200",Zm00001d050125
